
State Machine - |IP_LCD_control|state
Name state.MODE_DONE state.MODE_CMD_WAIT state.MODE_CMD state.MODE_DATA_WAIT state.MODE_DATA state.MODE_SETCURSOR_WAIT state.MODE_SETCURSOR state.MODE_INIT_STEP state.MODE_INIT_WAIT state.MODE_INIT state.MODE_IDLE 
state.MODE_IDLE 0 0 0 0 0 0 0 0 0 0 0 
state.MODE_INIT 0 0 0 0 0 0 0 0 0 1 1 
state.MODE_INIT_WAIT 0 0 0 0 0 0 0 0 1 0 1 
state.MODE_INIT_STEP 0 0 0 0 0 0 0 1 0 0 1 
state.MODE_SETCURSOR 0 0 0 0 0 0 1 0 0 0 1 
state.MODE_SETCURSOR_WAIT 0 0 0 0 0 1 0 0 0 0 1 
state.MODE_DATA 0 0 0 0 1 0 0 0 0 0 1 
state.MODE_DATA_WAIT 0 0 0 1 0 0 0 0 0 0 1 
state.MODE_CMD 0 0 1 0 0 0 0 0 0 0 1 
state.MODE_CMD_WAIT 0 1 0 0 0 0 0 0 0 0 1 
state.MODE_DONE 1 0 0 0 0 0 0 0 0 0 1 
